asset	local_sha256	live_sha256
html	030e02f819f921b65925865e37e0751a6888ea6af4216430c54d7c4adefa7fa4	030e02f819f921b65925865e37e0751a6888ea6af4216430c54d7c4adefa7fa4
js	3c537f2a7056c23e7f19a0bf4b6113ec3141f5025fd5f783f538d0bea135fc30	3c537f2a7056c23e7f19a0bf4b6113ec3141f5025fd5f783f538d0bea135fc30
css	5fc594575014a45669aa6360eb730d013d61ecdf63e62b2a330f8265cfe477f8	5fc594575014a45669aa6360eb730d013d61ecdf63e62b2a330f8265cfe477f8
